,Target,AdvTime,AdvLoc,V,Neg,VGram,Adj,Phrasal
122,0,18,0,1198,0,5,19,1298
123,0,130,0,243,0,3,19,1297
124,0,0,0,253,0,8,19,1296
125,0,161,0,244,0,5,0,1307
126,0,0,0,245,0,5,19,1295
127,0,0,0,0,0,7,0,1293
128,0,78,0,1138,0,5,19,1292
129,0,79,0,383,0,5,0,0
130,0,79,0,133,0,5,0,0
131,0,79,0,1236,0,5,0,0
132,0,79,0,382,0,8,0,0
133,0,79,0,21,0,8,0,0
134,0,79,0,164,0,8,0,0
135,0,79,28,625,1,4,0,0
136,0,79,9,411,0,5,0,0
137,0,79,0,216,0,5,0,0
138,0,79,0,222,0,5,0,0
139,0,79,0,240,0,5,19,0
140,0,79,0,53,0,5,0,0
141,0,79,0,848,0,1,0,0
142,0,79,0,430,0,5,0,0
143,0,79,0,448,0,5,0,0
144,0,79,0,336,0,7,0,0
145,0,79,0,1330,0,5,19,0
146,0,79,102,0,0,7,0,0
147,0,79,105,541,0,0,0,0
148,0,79,0,510,0,8,0,0
149,0,79,0,640,1,5,19,0
150,0,79,0,704,0,5,0,0
151,0,79,0,4,0,9,0,0
152,0,79,0,849,0,3,0,0
153,0,79,0,855,0,8,0,0
154,0,79,0,1266,0,5,0,0
155,0,79,0,889,0,5,0,0
156,0,79,0,19,0,5,19,0
157,0,79,0,1011,0,5,0,0
158,0,79,0,429,0,8,0,0
159,0,79,0,1057,0,8,0,0
160,0,79,0,1070,0,8,19,0
161,0,79,0,458,0,4,0,0
162,0,79,0,1159,0,8,0,0
163,0,79,0,1245,0,8,0,0
164,0,79,0,1048,0,8,0,0
165,0,79,0,72,0,5,0,0
166,0,79,0,1341,0,5,19,0
167,0,79,0,1349,0,8,0,0
168,0,79,0,1358,0,5,19,0
169,0,79,0,422,0,5,0,0
170,0,79,0,0,0,7,0,0
171,0,79,0,295,0,8,0,0
172,0,79,0,776,0,5,0,0
173,0,79,0,269,0,5,0,0
174,0,79,0,1262,0,5,0,0
175,0,79,0,1067,0,8,0,0
176,0,79,0,474,0,5,0,0
177,0,79,0,431,0,5,0,0
178,0,79,0,1070,0,8,0,0
179,0,79,0,388,0,5,0,0
180,0,79,0,453,0,4,0,0
181,0,79,0,1349,0,8,0,0
182,0,79,0,1077,0,8,0,0
183,0,79,0,390,0,8,0,0
184,0,79,0,381,0,8,0,0
185,0,79,0,755,0,8,0,0
186,0,79,0,1248,0,5,0,0
187,0,79,0,241,0,5,0,0
188,0,79,0,0,0,7,0,0
189,0,79,0,1138,0,5,0,0
190,0,79,0,43,0,5,19,0
191,0,79,0,1026,0,5,0,0
192,0,79,0,686,0,8,0,0
193,0,79,0,711,0,5,0,0
194,0,79,0,245,0,5,0,0
195,0,79,0,467,0,3,0,0
196,0,79,0,865,0,8,0,0
197,0,79,0,1014,0,5,0,0
198,0,79,0,328,0,5,0,0
199,0,79,0,0,0,7,0,0
200,0,79,0,0,0,7,19,0
201,0,79,0,40,0,8,19,0
202,0,79,0,329,0,3,0,0
203,0,79,0,1069,0,8,0,0
204,0,79,0,1071,0,5,0,0
205,0,79,0,1113,0,8,0,0
206,0,80,0,1273,0,5,19,0
207,0,80,0,1069,0,8,19,0
208,0,80,0,328,0,5,19,0
209,0,80,0,2,0,5,19,0
210,0,82,0,330,0,8,19,1291
211,0,83,0,1368,0,5,19,1290
212,0,84,0,1144,0,8,19,1289
213,0,85,0,1171,0,5,0,0
214,0,85,0,712,0,5,19,0
215,0,85,0,1076,0,3,0,0
216,0,85,0,92,0,8,0,0
217,0,85,0,745,0,5,19,0
218,0,85,0,234,0,8,0,0
219,0,85,0,0,0,7,0,0
220,0,85,0,19,0,5,0,0
221,0,85,92,1139,0,5,0,0
222,0,85,103,0,0,7,0,0
223,0,85,103,0,0,7,0,0
224,0,85,0,675,0,5,0,0
225,0,85,0,583,1,1,0,0
226,0,85,0,751,0,5,0,0
227,0,85,0,795,0,2,0,0
228,0,85,0,0,0,7,0,0
229,0,85,0,0,0,7,0,0
230,0,85,0,1072,0,5,0,0
231,0,85,0,1239,0,8,0,0
232,0,85,0,505,0,5,0,0
